id,roll,name,description,value_cp,lucky_name,lucky_description,lucky_value_cp,tags
I0011,1,Узел из трёх мокрых верёвок,"Находка грязная, смешная и почти бесполезная. Волокна, узлы и влажность честно показывают остаток прочности.",13,Узел из трёх мокрых верёвок — сплетённая хранителями маяка,"Плетение не боится огня и воды, хотя с виду верёвка остаётся совершенно обычной. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Скрытая деталь делает находку одновременно полезной и коллекционной.",3289,"rope,tier-1"
I0012,1,Мешочек чужих молочных зубов,"Находка грязная, смешная и почти бесполезная. Внутри сохранился запах прежнего содержимого и немного дорожной пыли.",26,Мешочек чужих молочных зубов — с тайным отделением королевского курьера,"Потайной шов открыл ценную работу и надёжное внутреннее отделение. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Редкая особенность раскрывается только при внимательном осмотре.",6604,"container,tier-1"
I0013,1,"Перо, которым чесали спину","Находка грязная, смешная и почти бесполезная. Пятна чернил и состояние наконечника говорят о последнем писавшем.",20,"Перо, которым чесали спину — принадлежавшее великому летописцу","Инструмент узнаёт руку владельца и оставляет особенно стойкие, красивые линии. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Даже неприметный вид не способен скрыть выдающееся качество.",5100,"writing,tier-1"
I0014,1,Три страницы плохого любовного романа,"Находка грязная, смешная и почти бесполезная. Переплёт, поля и закладки выдают, насколько часто текстом пользовались.",15,Три страницы плохого любовного романа — с авторскими пометами первого издания,"Между страницами обнаружены авторские пометы, резко повышающие ценность тома. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",3840,"book,tier-1"
I0015,1,Квитанция за давно съеденную козу,"Находка грязная, смешная и почти бесполезная. Печати и подписи можно изучить, хотя назначение бумаги не всегда радует.",29,Квитанция за давно съеденную козу — скреплённое печатью забытого престола,"Подлинность подтверждена редкой печатью, а содержание имеет историческую цену. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. История владельца повышает цену не меньше, чем материалы.",7250,"document,tier-1"
I0016,1,Кошель с двумя фальшивыми пуговицами,"Находка грязная, смешная и почти бесполезная. Находка связана с мелкой торговлей и хранит следы множества рук.",21,Кошель с двумя фальшивыми пуговицами — из закрытой коллекции монетного двора,"Незаметная отметка превращает торговую мелочь в редкий нумизматический объект. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Работа мастера узнаваема и имеет подтверждённую ценность.",5271,"trade,tier-1"
I0017,1,Медное кольцо из бочарного обода,"Находка грязная, смешная и почти бесполезная. Даже при беглом осмотре видны качество оправы и состояние металла.",17,Медное кольцо из бочарного обода — из сокровищницы звёздного ювелира,"Камни и металл подтвердили происхождение из известной ювелирной школы. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Неожиданное свойство делает эту версию особенно желанной.",4284,"jewelry,tier-1"
I0018,1,Кукла без лица и одной ноги,"Находка грязная, смешная и почти бесполезная. Игрушка пережила шумные игры и несколько неумелых починок.",11,Кукла без лица и одной ноги — первой серии великого игрушечника,"Это ранняя работа знаменитого мастера, сохранившая редкий механизм. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. На рынке редкостей за неё наверняка начнётся спор.",2783,"toy,tier-1"
I0019,1,Сколотая свеча неведомому святому,"Находка грязная, смешная и почти бесполезная. Символы нанесены старательно, хотя их смысл понятен не каждому жрецу.",23,Сколотая свеча неведомому святому — признанная храмовой реликвией,"Реликвия признана храмом и несёт след подлинного благословения. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Подлинная метка превращает случайную находку в событие.",5842,"religion,tier-1"
I0020,1,"Свисток, звучащий как больная утка","Находка грязная, смешная и почти бесполезная. Звук зависит от состояния дерева, металла и терпения исполнителя.",19,"Свисток, звучащий как больная утка — из личного оркестра серебряного дракона","Редкий тембр и подпись мастера делают инструмент желанным для коллекционера. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Состояние почти идеальное, а происхождение подтверждено.",4845,"music,tier-1"
I0021,1,Капкан на очень доверчивую мышь,"Находка грязная, смешная и почти бесполезная. Потёртости показывают, на какую добычу и как часто с вещью ходили.",13,Капкан на очень доверчивую мышь — из арсенала королевского ловчего,"Точная подгонка и необычный материал заметно улучшают охотничьи свойства. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Знаток заплатит за такую редкость намного больше обычного.",3328,"hunting,tier-1"
I0022,1,Крючок с засохшим червём,"Находка грязная, смешная и почти бесполезная. Соль, леска и чешуя оставили на снасти честную биографию.",26,Крючок с засохшим червём — снасть легендарного речного следопыта,"Снасть принадлежала знаменитому ловцу и безошибочно чувствует крупную добычу. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Скрытая деталь делает находку одновременно полезной и коллекционной.",6500,"fishing,tier-1"
I0023,1,Пробка от пиратской фляги,"Находка грязная, смешная и почти бесполезная. Запах смолы и соли выдаёт долгую службу рядом с водой.",20,Пробка от пиратской фляги — с флагмана пропавшей экспедиции,"Корабельная метка связывает находку с легендарным плаванием. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Редкая особенность раскрывается только при внимательном осмотре.",5020,"nautical,tier-1"
I0024,1,Сломанный зуб деревянных грабель,"Находка грязная, смешная и почти бесполезная. Земля в щелях и затёртая рукоять говорят о привычной работе.",15,Сломанный зуб деревянных грабель — награда победителю Праздника Урожая,"Инструмент идеально сбалансирован и когда-то был наградой лучшему земледельцу. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Даже неприметный вид не способен скрыть выдающееся качество.",3780,"farming,tier-1"
I0025,1,Кусок угля с нарисованными глазами,"Находка грязная, смешная и почти бесполезная. Каменная пыль забилась в каждую выемку этой шахтёрской вещи.",29,Кусок угля с нарисованными глазами — настроенное на жилу звёздного серебра,"Находка откликается на ценные жилы едва заметным теплом. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",7337,"mining,tier-1"
I0026,1,"Щепка, подписанная «меч»","Находка грязная, смешная и почти бесполезная. Смола и тонкая стружка сохранились возле рабочих кромок.",21,"Щепка, подписанная «меч» — из мастерской говорящего дерева","Работа принадлежит именитому резчику и удивительно бережно обращается с деревом. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. История владельца повышает цену не меньше, чем материалы.",5334,"woodcraft,tier-1"
I0027,1,Холодный кузнечный шлак,"Находка грязная, смешная и почти бесполезная. Окалина и следы жара не оставляют сомнений в кузнечном прошлом.",17,Холодный кузнечный шлак — закалённое в огне Великой Кузни,"Сплав и закалка соответствуют утраченной технике большой мастерской. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Работа мастера узнаваема и имеет подтверждённую ценность.",4335,"smithing,tier-1"
I0028,1,Отмычка из рыбьей кости,"Находка грязная, смешная и почти бесполезная. Размер и гибкость намекают на задачи, о которых не пишут в накладных.",11,Отмычка из рыбьей кости — из комплекта королевской разведки,"Набор создан для королевского разведчика и почти не оставляет следов применения. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Неожиданное свойство делает эту версию особенно желанной.",2816,"thieves,tier-1"
I0029,1,Пузырёк с запахом старых носков,"Находка грязная, смешная и почти бесполезная. Осадок и цвет позволяют строить догадки, но не советуют пробовать содержимое.",23,Пузырёк с запахом старых носков — из лаборатории первого трансмутатора,"Состав сохранил чистоту и относится к редкой работе признанного алхимика. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. На рынке редкостей за неё наверняка начнётся спор.",5750,"alchemy,tier-1"
I0030,1,Использованный бинт сомнительного происхождения,"Находка грязная, смешная и почти бесполезная. Запах трав и аккуратность упаковки показывают уровень прежнего лекаря.",19,Использованный бинт сомнительного происхождения — из сумки святого полевого лекаря,"Внутри обнаружены дорогие средства полевого хирурга и безупречные инструменты. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Подлинная метка превращает случайную находку в событие.",4769,"medicine,tier-1"
I0031,1,Колышек от палатки без палатки,"Находка грязная, смешная и почти бесполезная. Пыль дорог и следы дождя видны сильнее любой торговой марки.",13,Колышек от палатки без палатки — из снаряжения похода за край карты,"Снаряжение необычно лёгкое, прочное и рассчитано на самые тяжёлые переходы. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Состояние почти идеальное, а происхождение подтверждено.",3276,"camping,tier-1"
I0032,1,Огарок свечи длиной с ноготь,"Находка грязная, смешная и почти бесполезная. Копоть вокруг огня рассказывает, насколько ровно он когда-то горел.",26,Огарок свечи длиной с ноготь — с негасимым огнём хранителей рассвета,"Источник света расходует топливо почти незаметно и не гаснет от обычного ветра. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Знаток заплатит за такую редкость намного больше обычного.",6578,"light,tier-1"
I0033,1,"Компас, уверенно показывающий на сапог","Находка грязная, смешная и почти бесполезная. Стрелки, шкалы и потёртый корпус ещё могут подсказать направление.",20,"Компас, уверенно показывающий на сапог — из обсерватории забытого мореплавателя","Прибор изготовлен для дальней экспедиции и замечает даже магические искажения пути. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Скрытая деталь делает находку одновременно полезной и коллекционной.",5080,"navigation,tier-1"
I0034,1,Ржавая пряжка от чужого доспеха,"Находка грязная, смешная и почти бесполезная. Вмятины и ремни показывают, какую защиту предмет способен дать сейчас.",15,Ржавая пряжка от чужого доспеха — из личной оружейной палаты героя,"Под поздними заплатами обнаружена работа оружейника исторического значения. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Редкая особенность раскрывается только при внимательном осмотре.",3825,"armor,tier-1"
I0035,1,Доска с надписью «щит»,"Находка грязная, смешная и почти бесполезная. Кромка и крепления хранят следы ударов, которые принял прежний владелец.",29,Доска с надписью «щит» — с гербом спасённого королевства,"Геральдика и редкий сердечник превращают защиту в ценную реликвию. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Даже неприметный вид не способен скрыть выдающееся качество.",7424,"shield,tier-1"
I0036,1,Ножик для чистки особенно мелкой картошки,"Находка грязная, смешная и почти бесполезная. Короткий клинок удобно осмотреть по заточке, гарде и следам ржавчины.",21,Ножик для чистки особенно мелкой картошки — из тайного набора придворного дуэлянта,"Сталь скрывает безупречную закалку и происхождение из личного арсенала мастера. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",5250,"dagger,tier-1"
I0037,1,Деревянный меч трусливого гоблина,"Находка грязная, смешная и почти бесполезная. Длинный клинок оценивается по балансу, прямизне и состоянию ножен.",17,Деревянный меч трусливого гоблина — с подписью мастера легендарных клинков,"После очистки открылись подпись оружейника и выдающийся узор закалки. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. История владельца повышает цену не меньше, чем материалы.",4267,"sword,tier-1"
I0038,1,"Камень, привязанный к палке","Находка грязная, смешная и почти бесполезная. Рабочая кромка и посадка топорища показывают характер прежней службы.",11,"Камень, привязанный к палке — выкованное для наследника подгорного трона","Редкий металл держит заточку, а клеймо связывает топор с прославленным походом. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Работа мастера узнаваема и имеет подтверждённую ценность.",2772,"axe,tier-1"
I0039,1,Тетива без лука,"Находка грязная, смешная и почти бесполезная. Плечи, тетива и изгиб сохраняют память о множестве выстрелов.",23,Тетива без лука — из тисовой рощи первого лучника,"Точная работа даёт исключительную плавность и принадлежит знаменитому стрелку. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Неожиданное свойство делает эту версию особенно желанной.",5819,"bow,tier-1"
I0040,1,Стрела без наконечника и перьев,"Находка грязная, смешная и почти бесполезная. Оперение и наконечник подсказывают назначение боеприпаса.",19,Стрела без наконечника и перьев — с наконечником из упавшей звезды,"Редкая балансировка и особый наконечник делают единственный выстрел чрезвычайно ценным. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. На рынке редкостей за неё наверняка начнётся спор.",4826,"projectile,tier-1"
I0041,1,Кривая палка с важным видом,"Находка грязная, смешная и почти бесполезная. Следы ладоней и дорожные зарубки покрывают посох почти целиком.",13,Кривая палка с важным видом — выросшее из ветви мирового древа,"Внутри древесины обнаружена тонкая сердцевина с полезным необычным свойством. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Подлинная метка превращает случайную находку в событие.",3315,"staff,tier-1"
I0042,1,Ошейник блохастого кобольда,"Находка грязная, смешная и почти бесполезная. Ремни и пряжки подогнаны под конкретного зверя и долгую дорогу.",26,Ошейник блохастого кобольда — из церемониальной упряжи единорога,"Материалы достойны королевской конюшни и необычно удобны для животного. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Состояние почти идеальное, а происхождение подтверждено.",6656,"animal,tier-1"
I0043,1,Амулет от здравого смысла,"Находка грязная, смешная и почти бесполезная. Едва заметная странность отличает вещицу от совершенно обычного хлама.",20,Амулет от здравого смысла — с устойчивым малым чудом внутри,"Малое чудо оказалось стабильным, полезным и работой известного чародея. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Знаток заплатит за такую редкость намного больше обычного.",5000,"magic,tier-1"
I0044,1,Почётная сопля гоблинского сержанта,"Находка грязная, смешная и почти бесполезная. Гоблинская практичность смешана здесь с самоуверенным украшательством.",15,Почётная сопля гоблинского сержанта — из трофейной кладовой великого вождя,"Вещь принадлежала знаменитому гоблинскому вождю и содержит хитрый секрет. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Скрытая деталь делает находку одновременно полезной и коллекционной.",3765,"goblin,tier-1"
I0045,1,Клочок бороды неизвестного дворфа,"Находка грязная, смешная и почти бесполезная. Дворфская манера видна по тяжести, рунам и упрямой прочности.",29,Клочок бороды неизвестного дворфа — с рунами прародителя клана,"Руны называют древний клан, а качество достойно наследственной сокровищницы. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Редкая особенность раскрывается только при внимательном осмотре.",7308,"dwarf,tier-1"
I0046,1,Поддельное эльфийское ухо,"Находка грязная, смешная и почти бесполезная. Эльфийская работа узнаётся по лёгким линиям и вниманию к мелочам.",21,Поддельное эльфийское ухо — с подписью мастера Лунного Двора,"Подлинная подпись мастера и редкий материал делают изделие музейным. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Даже неприметный вид не способен скрыть выдающееся качество.",5313,"elf,tier-1"
I0047,1,Носовой платок с монограммой «Не мой»,"Находка грязная, смешная и почти бесполезная. Человеческая вещь хранит понятные следы службы, ремонта и дороги.",17,Носовой платок с монограммой «Не мой» — из багажа основателя столицы,"Монограмма связывает её с важным историческим лицом, а состояние удивительно хорошо. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",4318,"human,tier-1"
I0048,1,Карта до ближайшей лужи,"Находка грязная, смешная и почти бесполезная. Каждая царапина отмечает новый участок долгого маршрута.",11,Карта до ближайшей лужи — из комплекта Последней Экспедиции,"Эта версия создавалась для великой экспедиции и продумана до последней застёжки. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. История владельца повышает цену не меньше, чем материалы.",2805,"travel,tier-1"
I0049,1,Торговый образец пустой коробки,"Находка грязная, смешная и почти бесполезная. Бирки и упаковка выдают товар, который когда-то ждал покупателя.",23,Торговый образец пустой коробки — из опечатанного товара Гильдии Чудес,"Происхождение и редкость позволяют продать находку серьёзному коллекционеру. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Работа мастера узнаваема и имеет подтверждённую ценность.",5888,"merchant,tier-1"
I0050,1,Кисть с единственной щетиной,"Находка грязная, смешная и почти бесполезная. Следы краски, глины или клея точно называют ремесло владельца.",19,Кисть с единственной щетиной — из наследия великого ремесленника,"Инструмент принадлежал признанному мастеру и сам по себе считается произведением искусства. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Неожиданное свойство делает эту версию особенно желанной.",4750,"artisan,tier-1"
I0051,1,Камень для подпирания другого камня,"Находка грязная, смешная и почти бесполезная. Бытовая вещь честно показывает привычки и достаток прежнего дома.",13,Камень для подпирания другого камня — из сервиза посольского дворца,"Незаметная деталь выдаёт заказ для дворца и исключительное качество изготовления. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. На рынке редкостей за неё наверняка начнётся спор.",3263,"household,tier-1"
I0052,1,"Ключ от двери, которой не существует","Находка грязная, смешная и почти бесполезная. Форма бородки обещает замок, который, возможно, ещё существует.",26,"Ключ от двери, которой не существует — открывающее хранилище Тайного Совета","Знак на стержне указывает на особо важную дверь и дорогой секрет за ней. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Подлинная метка превращает случайную находку в событие.",6552,"key,tier-1"
I0053,1,План побега из незапертого сарая,"Находка грязная, смешная и почти бесполезная. Линии маршрута, пятна и исправления оставлены разными путешественниками.",20,План побега из незапертого сарая — с дорогой к сокровищнице на полях,"Скрытый слой показывает неизвестный путь к месту большой ценности. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Состояние почти идеальное, а происхождение подтверждено.",5060,"map,tier-1"
I0054,1,"Стекляшка, объявленная рубином","Находка грязная, смешная и почти бесполезная. Свет на гранях помогает отличить камень, стекло и удачную подделку.",15,"Стекляшка, объявленная рубином — огранённое слепым мастером провидцев","После очистки проявились редкая чистота, огранка и подтверждённое происхождение. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Знаток заплатит за такую редкость намного больше обычного.",3810,"gem,tier-1"
I0055,1,Банка с тенью дохлой мухи,"Находка грязная, смешная и почти бесполезная. Назначение странности неочевидно, но детали явно сложились не случайно.",29,Банка с тенью дохлой мухи — из кабинета придворного исследователя,"Специалист распознает в ней редкость, смысл которой намного дороже внешнего вида. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Скрытая деталь делает находку одновременно полезной и коллекционной.",7395,"oddity,tier-1"
I0056,2,Мятая шляпа с чужим пером,"Вещь едва пережила сырость, неумелый ремонт и прежнего владельца. Форма и следы носки сразу выдают историю головного убора.",42,Мятая шляпа с чужим пером — из гардероба лунной княгини,"Материал оказался редким, а внутренняя метка связывает вещь с известным владельцем. Почти бесполезный вид скрывал редкую деталь, которую заметит хороший оценщик. История владельца повышает цену не меньше, чем материалы.",5880,"headwear,tier-2"
